date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:09:23	101/101	---M-Z	200	added ('OK')	text/plain	etag:%2257-5858eea2b4d69-gzip%22	https://www.rincondelvago.com/robots.txt		(from )
20:09:23	77281/77281	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2002:09:22%20GMT	https://www.rincondelvago.com/	D:/a/prueba/www.rincondelvago.com/index.html	(from )
20:09:24	58752/58752	---M--	200	added ('OK')	text/javascript	etag:%229b35aad868864122%22	https://apis.google.com/js/plusone.js	D:/a/prueba/apis.google.com/js/plusone.js	(from https://www.rincondelvago.com/)
20:09:36	19236/19236	---M-Z	200	added ('OK')	application/javascript	etag:%22649949fb-1b11%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.3/umd/popper.min.js	D:/a/prueba/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.3/umd/popper.min.js	(from https://www.rincondelvago.com/)
20:09:39	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Mon,%2012%20Jun%202023%2018:23:07%20GMT	http://www.google-analytics.com/analytics.js	D:/a/prueba/www.google-analytics.com/analytics.js	(from https://www.rincondelvago.com/)
20:09:42	50564/50564	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:03%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0-beta.2/js/bootstrap.min.js	D:/a/prueba/maxcdn.bootstrapcdn.com/bootstrap/4.0.0-beta.2/js/bootstrap.min.js	(from https://www.rincondelvago.com/)
20:09:47	86659/86659	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	D:/a/prueba/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://www.rincondelvago.com/)
20:09:47	101009/101009	---M--	200	added ('OK')	application/javascript	etag:%228c1d701b053104ded538c4d4d08aff70%22	https://rdv-files.nyc3.digitaloceanspaces.com/prebid_20180527161408.js	D:/a/prueba/rdv-files.nyc3.digitaloceanspaces.com/prebid_20180527161408.js	(from https://www.rincondelvago.com/)
20:09:47	127343/127343	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:03%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0-beta.2/css/bootstrap.min.css	D:/a/prueba/maxcdn.bootstrapcdn.com/bootstrap/4.0.0-beta.2/css/bootstrap.min.css	(from https://www.rincondelvago.com/)
20:09:47	82887/82887	---M--	200	added ('OK')	text/javascript	etag:320%20/%2019570%20/%20m202307270101%20/%20config-hash:%204890317717347343770	https://securepubads.g.doubleclick.net/tag/js/gpt.js	D:/a/prueba/securepubads.g.doubleclick.net/tag/js/f.txt	(from https://www.rincondelvago.com/)
20:09:47	81048/81048	---M--	200	added ('OK')	text/css	etag:%226cbb704349ca50a24b86ea7262fb1142%22	https://rdv-files.nyc3.cdn.digitaloceanspaces.com/rinvago/static-content/css/main.20171127.css	D:/a/prueba/rdv-files.nyc3.cdn.digitaloceanspaces.com/rinvago/static-content/css/main.20171127.css	(from https://www.rincondelvago.com/)
20:09:49	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%226497b584-1ada%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	D:/a/prueba/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.rincondelvago.com/)
20:09:49	2930/2930	---M--	200	added ('OK')	text/html	etag:%2264c783be-b72%22	http://d-1.co/load.js	D:/a/prueba/d-1.co/load.html	(from https://www.rincondelvago.com/)
20:09:49	3444/3444	---M--	200	added ('OK')	image/png	etag:%22ca276828d7e5b62ef1e7ef2b1e701cdc%22	https://rdv-files.nyc3.cdn.digitaloceanspaces.com/rinvago/static-content/images/logo-rdv.png	D:/a/prueba/rdv-files.nyc3.cdn.digitaloceanspaces.com/rinvago/static-content/images/logo-rdv.png	(from https://www.rincondelvago.com/)
20:09:50	77441/77441	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2002:09:49%20GMT	https://www.rincondelvago.com/administracion_empresas	D:/a/prueba/www.rincondelvago.com/administracion_empresas.html	(from https://www.rincondelvago.com/)
20:09:51	76353/76353	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2002:09:50%20GMT	https://www.rincondelvago.com/agricultura	D:/a/prueba/www.rincondelvago.com/agricultura.html	(from https://www.rincondelvago.com/)
20:09:52	76759/76759	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2002:09:50%20GMT	https://www.rincondelvago.com/alimentacion	D:/a/prueba/www.rincondelvago.com/alimentacion.html	(from https://www.rincondelvago.com/)
20:10:25	77145/77145	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2002:09:51%20GMT	https://www.rincondelvago.com/arquitectura_construccion	D:/a/prueba/www.rincondelvago.com/arquitectura_construccion.html	(from https://www.rincondelvago.com/)
